pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
115.1143,-120.775,-90.0,top,120R1,,,PinHeader_1x02_P2.54mm_Vertical,Jumper_2_Small_Bridged,tht
182.3643,-75.025,0.0,top,3.3V1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,tht
198.3643,-103.775,-90.0,top,CAN1,,,PinHeader_1x02_P2.54mm_Vertical,CANBUS,tht
102.7943,-115.025,90.0,top,CAN2,,,MX3.0 Connector CANBUS,MX3.0_Connector_CANBUS,tht
204.7643,-112.025,-90.0,top,CAN3,,,MX3.0 Connector CANBUS,MX3.0_Connector_CANBUS,tht
195.8643,-76.025,180.0,top,CYD1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,tht
115.7902,-88.8206,0.0,top,D1,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5817,tht
124.7143,-113.525,90.0,top,DRV1,,,DRV8833_Module,~,tht
144.5143,-113.525,90.0,top,DRV2,,,DRV8833_Module,~,tht
164.5143,-113.525,90.0,top,DRV3,,,DRV8833_Module,~,tht
183.8643,-113.525,90.0,top,DRV4,,,DRV8833_Module,~,tht
116.6143,-127.0,0.0,top,M1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
127.0429,-127.0,0.0,top,M2,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
137.4714,-127.0,0.0,top,M3,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
147.9,-127.0,0.0,top,M4,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
158.3286,-127.0,0.0,top,M5,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
168.7572,-127.0,0.0,top,M6,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
179.1857,-127.0,0.0,top,M7,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
189.6143,-127.0,0.0,top,M8,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
193.8843,-91.637,180.0,top,PS1,,,MP1584_Module,MP1583_Module,tht
100.8043,-106.025,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,120 Ohm,tht
115.9643,-75.475,0.0,top,SW1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
124.9643,-75.475,0.0,top,SW2,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
133.9643,-75.475,0.0,top,SW3,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
142.9643,-75.475,0.0,top,SW4,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
161.8643,-83.05,180.0,top,SW5,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
171.1143,-83.05,180.0,top,SW6,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02 Pin1+ Pin2-,tht
159.0293,-99.775,90.0,top,U1,,,CJMCU-1051_TJA1051_CAN_Transceiver,CJMCU-1051_TJA1051_CAN_Transceiver,tht
103.0825,-101.39,90.0,top,U2,,,RaspberryPi_Pico_Common_THT,Pico,tht
